DATAFLOW,LAST UPDATE,freq,hhcomp,rskpovth,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2005,5.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2006,5.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2007,5.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2008,5.6,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2009,4.9,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2010,4.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2011,4.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2012,4.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2013,4.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2014,4.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2015,3.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2016,2.9,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2017,2.5,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2018,2.6,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2019,2.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2020,7.3,b,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2021,3.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2022,5.9,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2023,8.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2024,6.2,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DE,2025,5.5,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2003,11.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2004,10.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2005,11.6,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2006,10.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2007,11.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2008,2.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2009,2.0,,
